jstat-1.6.0,stdlib
jStat,N/A
rows,(planned)
cols,(planned)
dimensions,(planned)
row,(planned)
col,(planned)
diag,(planned)
antidiag,(planned)
transpose,(planned)
map,(planned)
cumreduce,(planned)
alter,(planned)
create,(planned)
zeros,(planned)
ones,(planned)
rand,random/base/*
identity,utils/identity-function
clear,(planned)
symmetric,(planned)
calcRdx,N/A
isArray,assert/is-array
isFunction,assert/is-function
isNumber,assert/is-number
sum,(planned)
sumsqrd,(planned)
sumsqerr,(planned)
sumrow,(planned)
product,(planned)
min,(planned)
max,(planned)
mean,(planned)
meansqerr,(planned)
geomean,(planned)
median,(planned)
cumsum,(planned)
cumprod,(planned)
diff,(planned)
mode,(planned)
range,(planned)
variance,(planned)
pooledvariance,N/A
stdev,(planned)
pooledstdev,N/A
meandev,(planned)
skewness,(planned)
kurtosis,(planned)
coeffvar,(planned)
quartiles,(planned)
percentile,(planned)
percentileOfScore,N/A
historam,(planned)
covariance,(planned)
corrcoeff,(planned)
arcsine,math/base/dists/arcsine
arcsine.pdf,math/base/dists/arcsine/pdf
arcsine.cdf,math/base/dists/arcsine/cdf
arcsine.inv,math/base/dists/arcsine/quantile
arcsine.mean,math/base/dists/arcsine/mean
arcsine.median,math/base/dists/arcsine/median
arcsine.mode,math/base/dists/arcsine/mode
arcsine.sample,random/base/arcsine
arcsine.variance,math/base/dists/arcsine/variance
beta,math/base/dists/beta
beta.pdf,math/base/dists//beta/pdf
beta.cdf,math/base/dists//beta/cdf
beta.inv,math/base/dists/beta/quantile
beta.mean,math/base/dists/beta/mean
beta.median,math/base/dists/beta/median
beta.mode,math/base/dists/beta/mode
beta.sample,random/base/beta
beta.variance,math/base/dists/beta/variance
centralF,math/base/dists/f
centralF.pdf,math/base/dists/f/prd
centralF.cdf,math/base/dists/f/cdf
centralF.inv,math/base/dists/f/quantile
centralF.mean,math/base/dists/f/mean
centralF.mode,math/base/dists/f/mode
centralF.sample,random/base/f
centralF.variance,math/base/dists/f/variance
cauchy,math/base/dists/cauchy
cauchy.pdf,math/base/dists//cauchy/pdf
cauchy.cdf,math/base/dists//cauchy/cdf
cauchy.inv,math/base/dists/cauchy/quantile
cauchy.median,math/base/dists/cauchy/median
cauchy.mode,math/base/dists/cauchy/mode
cauchy.sample,random/base/cauchy
cauchy.variance,math/base/dists/cauchy/variance
chisquare,math/base/dists/chisquare
chisquare.pdf,math/base/dists/chisquare/pdf
chisquare.cdf,math/base/dists/chisquare/cdf
chisquare.inv,math/base/dists//chisquare/quantile
chisquare.mean,math/base/dists/chisquare/mean
chisquare.median,math/base/dists/chisquare/median
chisquare.mode,math/base/dists/chisquare/mode
chisquare.sample,random/base/chisquare
chisquare.variance,math/base/dists/chisquare/variance
exponential,math/base/dists/exponential
exponential.pdf,math/base/dists/exponential/pdf
exponential.cdf,math/base/dists/exponential/cdf
exponential.inv,math/base/dists/exponential/quantile
exponential.mean,math/base/dists/exponential/mean
exponential.median,math/base/dists/exponential/median
exponential.mode,math/base/dists/exponential/mode
exponential.sample,random/base/exponential
exponential.variance,math/base/dists/exponential/variance
gamma,math/base/dists/gamma
gamma.pdf,math/base/dists/gamma/pdf
gamma.cdf,math/base/dists/gamma/cdf
gamma.inv,math/base/dists/gamma/quantile
gamma.mean,math/base/dists/gamma/mean
gamma.mode,math/base/dists/gamma/mode
gamma.sample,random/base/gamma
gamma.variance,math/base/dists/gamma/variance
invgamma,math/base/dists/invgamma
invgamma.pdf,math/base/dists/invgamma/pdf
invgamma.cdf,math/base/dists/invgamma/cdf
invgamma.inv,math/base/dists/invgamma/quantile
invgamma.mean,math/base/dists/invgamma/mean
invgamma.mode,math/base/dists/invgamma/mode
invgamma.sample,random/base/invgamma
invgamma.variance,math/base/dists/invgamma/variance
kumaraswamy,math/base/dists/kumaraswamy
kumaraswamy.pdf,math/base/dists/kumaraswamy/pdf
kumaraswamy.cdf,math/base/dists/kumaraswamy/cdf
kumaraswamy.inv,math/base/dists/kumaraswamy/quantile
kumaraswamy.mean,math/base/dists/kumaraswamy/mean
kumaraswamy.median,math/base/dists/kumaraswamy/median
kumaraswamy.mode,math/base/dists/kumaraswamy/mode
kumaraswamy.variance,math/base/dists/kumaraswamy/variance
lognormal,math/base/dists/lognormal
lognormal.pdf,math/base/dists/lognormal/pdf
lognormal.cdf,math/base/dists/lognormal/cdf
lognormal.inv,math/base/dists/lognormal/quantile
lognormal.mean,math/base/dists/lognormal/mean
lognormal.median,math/base/dists/lognormal/median
lognormal.mode,math/base/dists/lognormal/mode
lognormal.sample,random/base/lognormal
lognormal.variance,math/base/dists/lognormal/variance
normal,math/base/dists/normal
normal.pdf,math/base/dists/normal/pdf
normal.cdf,math/base/dists/normal/cdf
normal.inv,math/base/dists/normal/quantile
normal.mean,math/base/dists/normal/mean
normal.mode,math/base/dists/normal/mode
normal.sample,random/base/normal
normal.variance,math/base/dists/normal/variance
pareto,math/base/dists/pareto-type1
pareto.pdf,math/base/dists/pareto-type1/pdf
pareto.inv,math/base/dists/pareto-type1/quantile
pareto.cdf,math/base/dists/pareto-type1/cdf
pareto.mean,math/base/dists/pareto-type1/mean
pareto.mode,math/base/dists/pareto-type1/mode
pareto.variance,math/base/dists/pareto-type1/variance
studentt,math/base/dists/t
studentt.pdf,math/base/dists/t/pdf
studentt.cdf,math/base/dists/t/cdf
studentt.inv,math/base/dists/t/quantile
studentt.mean,math/base/dists/t/mean
studentt.median,math/base/dists/t/median
studentt.mode,math/base/dists/t/mode
studentt.sample,random/base/t
studentt.variance,math/base/dists/t/variance
tukey,(planned)
tukey.cdf,(planned)
tukey.inv,(planned)
weibull,math/base/dists/weibull
weibull.pdf,math/base/dists/weibull/pdf
weibull.cdf,math/base/dists/weibull/cdf
weibull.inv,math/base/dists/weibull/quantile
weibull.mean,math/base/dists/weibull/mean
weibull.median,math/base/dists/weibull/median
weibull.mode,math/base/dists/weibull/mode
weibull.sample,random/base/weibull
weibull.variance,math/base/dists/weibull/variance
uniform,math/base/dists/uniform
uniform.pdf,math/base/dists/uniform/pdf
uniform.cdf,math/base/dists/uniform/cdf
uniform.inv,math/base/dists/uniform/quantile
uniform.mean,math/base/dists/uniform/mean
uniform.median,math/base/dists/uniform/median
uniform.mode,math/base/dists/uniform/mode
uniform.sample,random/base/uniform
uniform.variance,math/base/dists/uniform/variance
binomial,math/base/dists/binomial
binomial.pdf,math/base/dists/binomial/pdf
binomial.cdf,math/base/dists/binomial/cdf
negbin,math/base/dists/negative-binomial
negbin.pdf,math/base/dists/negative-binomial/pdf
negbin.cdf,math/base/dists//negative-binomial/cdf
hypgeom,math/base/dists/hypergeometric
hypgeom.pdf,math/base/dists/hypergeometric/pdf
hypgeom.cdf,math/base/dists/hypergeometric/cdf
poisson,math/base/dists/poisson
poisson.pdf,math/base/dists/poisson/pdf
poisson.cdf,math/base/dists/poisson/cdf
triangular,math/base/dists//triangular
triangular.pdf,math/base/dists/triangular/pdf
triangular.cdf,math/base/dists/triangular/cdf
triangular.mean,math/base/dists/triangular/mean
triangular.median,math/base/dists/triangular/median
triangular.mode,math/base/dists/triangular/mode
triangular.variance,math/base/dists/triangular/variance
betafn,math/base/special/beta
betaln,math/base/special/betaln
betacf,(planned)
ibetainv,math/base/special/betaincinv
ibeta,math/base/special/betainc
gammafn,math/base/special/gamma
gammaln,math/base/special/gammaln
gammap,math/base/special/gammainc
lowRegGamma,math/base/special/gamma
gammapinv,math/base/special/gammaincinv
factorialln,math/base/special/factorialln
factorial,math/base/special/factorial
combination,(planned)
permutation,(planned)
erf,math/base/special/erf
erfc,math/base/special/erfc
erfcinv,math/base/special/erfcinv
randn,random/base/randn
randg,random/base/gamma
add,(planned)
subtract,(planned)
divide,(planned)
multiply,(planned)
outer,(planned)
dot,(planned)
pow,(planned)
exp,(planned)
log,(planned)
abs,(planned)
norm,(planned)
angle,(planned)
aug,(planned)
det,(planned)
inv,(planned)
gauss_elimination,(planned)
gauss_jordan,(planned)
lu,(planned)
cholesky,(planned)
gauss_jacobi,(planned)
gauss_seidel,(planned)
SOR,(planned)
householder,(planned)
QR,(planned)
jacobi,(planned)
rungekutta,(planned)
romberg,(planned)
richardson,(planned)
simpson,(planned)
hermite,(planned)
lagrange,(planned)
cubic_spline,(planned)
gauss_quadrature,(planned)
PCA,(planned)
zscore,(planned)
ztest,math/stats/ztest
tscore,(planned)
ttest,math/stats/ttest
anovafscore,(planned)
anovaftest,(planned)
ftest,(planned)
qscore,(planned)
qtest,(planned)
tukeyhsd,(planned)
normalci,(planned)
tci,(planned)
oneSidedDifferenceOfProportions,N/A
twoSidedDifferenceOfProportions,N/A
