lodash-4.17.x,stdlib
chunk,N/A
compact,N/A
concat,(planned)
difference,(planned)
differenceBy,N/A
differenceWith,N/A
drop,N/A
dropRight,N/A
dropRightWhile,N/A
dropWhile,N/A
fill,(planned)
findIndex,(planned)
findLastIndex,(planned)
first,N/A
flatten,utils/flatten-array and utils/flatten-object
flattenDeep,utils/flatten-array and utils/flatten-object
flattenDepth,utils/flatten-array and utils/flatten-object
fromPairs,utils/from-entries
head,N/A
indexOf,utils/index-of
initial,N/A
intersection,(planned)
intersectionBy,N/A
intersectionWith,N/A
join,(planned)
last,N/A
lastIndexOf,(planned)
nth,N/A
pull,(planned)
pullAll,N/A
pullAllBy,(planned)
pullAllWith,N/A
pullAt,(planned)
remove,(planned)
reverse,(planned)
slice,(planned)
sortedIndex,(maybe)
sortedIndexBy,N/A
sortedIndexOf,(planned)
sortedLastIndex,N/A
sortedLastIndexBy,N/A
sortedLastIndexOf,(planned)
sortedUniq,N/A
sortedUniqBy,N/A
tail,N/A
take,(maybe)
takeRight,(maybe)
takeRightWhile,(maybe)
takeWhile,(maybe)
union,(planned)
unionBy,N/A
unionWith,N/A
uniq,(planned)
uniqBy,N/A
uniqWith,N/A
unzip,utils/unzip
unzipWith,N/A
without,(maybe)
xor,(maybe)
xorBy,N/A
xorWith,N/A
zip,utils/zip
zipObject,(maybe)
zipObjectDeep,N/A
zipWith,N/A
countBy,utils/count-by
each,utils/for-each
each-right,utils/for-each-right
every,utils/every-by
filter,(planned)
find,utils/find
findLast,utils/find
flatMap,(planned)
flatMapDeep,N/A
flatMapDepth,N/A
forEach,utils/for-each
forEachRight,utils/for-each-right
groupBy,utils/group-by
includes,(planned)
invokeMap,N/A
keyBy,utils/key-by
map,(planned)
orderBy,N/A
partition,utils/bifurcate
reduce,utils/reduce
reduceRight,utils/reduce-right
reject,(planned)
sample,random/sample
sampleSize,N/A
shuffle,random/shuffle
size,N/A
some,utils/any-by
sortBy,(planned)
now,time/now
after,(planned)
ary,(maybe)
before,(planned)
bind,(planned)
bindKey,N/A
curry,utils/curry
