mathjs-11.10.x,stdlib
compile,N/A
evaluate,N/A
help,repl/help
parser,N/A
derivative,
leafCount,
lsolve,
lsolveAll,
lup,
lusolve,
polynomialRoot,
qr,
rationalize,N/A
resolve,N/A
schur,
simplify,N/A
simplifyConstant,N/A
simplifyCore,N/A
slu,
sylvester,
symbolicEqual,N/A
usolve,
usolveAll,
abs,math/special/abs
add,
cbrt,
ceil,
cube,
divide,
dotDivide,
dotMultiply,
dotPow,
exp,
expm1,
fix,
floor,
gcd,
hypot,
invmod,
lcm,
log,
log10,
log10p,
log2,
mod,
multiply,
norm,
nthRoot,
nthRoots,
pow,
round,
sign,
sqrt,
square,
subtract,
unaryMinus,
unaryPlus,
xgcd,
bitAnd,
bitNot,
bitOr,
bitXor,
leftShift,
rightArithShift,
rightLogShift,
bellNumbers,
catalan,
composition,
stirlingS2,
arg,
conj,
im,complex/float64/imag
re,complex/float64/real
distance,
intersect,
and,
not,
or,
xor,
apply,
column,
concat,
count,
cross,
ctranspose,
det,
diag,
diff,
dot,
eigs,
expm,
fft,
filter,
flatten,
forEach,
getMatrixDataType,
identity,
ifft,
inv,
kron,
map,
matrixFromColumns,
matrixFromFunction,
matrixFromRows,
ones,
partitionSelect,
pinv,
range,
reshape,
resize,
rotate,
rotationMatrix,
row,
size,
sort,
sqrtm,
squeeze,
subset,
trace,
transpose,
zeros,ndarray/zeros
solveODE,
combinations,
combinationsWithRep,
factorial,
gamma,
kldivergence,
lgamma,
multinomial,
permutations,
pickRandom,
random,random/base/uniform
randomInt,random/base/discrete-uniform
compare,
compareNatural,
compareText,
deepEqual,
equal,
equalText,
larger,
largerEq,
smaller,
smallerEq,
unequal,
setCartesian,
setDifference,
setDistinct,
setIntersect,
setIsSubset,
setMultiplicity,
setPowerset,
setSize,
setSymDifference,
setUnion,
freqz,
zpk2tf,
erf,
zeta,
cumsum,
mad,
max,
max,
mean,
median,
min,
mode,
prod,
quantileSeq,
std,
sum,
variance,
bin,
format,
hex,
oct,
print,
acos,
acosh,
acot,
acoth,
acsc,
acsch,
asec,
asech,
asin,
asinh,
atan,
atan2,
atanh,
cos,
cosh,
cot,
coth,
csc,
csch,
sec,
sech,
sin,
sinh,
tan,
tanh,
to,N/A
clone,utils/copy
hasNumericValue,
isInteger,
isNaN,
isNegative,
isNumeric,
isPositive,
isPrime,
isZero,
numeric,
typeOf,
