numpy_2_4,stdlib
abs,@stdlib/math/special/abs
absolute,@stdlib/math/special/abs
acos,(planned)
acosh,(planned)
add,(planned)
all,@stdlib/ndarray/every
allclose,(planned)
amax,@stdlib/stats/max
amin,@stdlib/stats/min
angle,(planned)
any,@stdlib/ndarray/any
append,@stdlib/ndarray/push
apply_along_axis,(planned)
apply_over_axes,(planned)
arange,(planned)
arccos,(planned)
arccosh,(planned)
arcsin,(planned)
arcsinh,(planned)
arctan,(planned)
arctan2,(planned)
arctanh,(planned)
argmax,(planned)
argmin,(planned)
argpartition,(planned)
argsort,(planned)
argwhere,(planned)
around,(planned)
array,@stdlib/ndarray/array
array2string,@stdlib/ndarray/to-string
array_equal,N/A
array_equiv,N/A
array_repr,N/A
array_split,N/A
array_str,N/A
asanyarray,????
asarray,@stdlib/ndarray/array
asarray_chkfinite,(planned)
ascontiguousarray,(planned)
asfortranarray,(planned)
asin,(planned)
asinh,(planned)
asmatrix,N/A
astype,(planned)
atan,(planned)
atan2,(planned)
atanh,(planned)
atleast_1d,@stdlib/ndarray/atleast1d
atleast_2d,@stdlib/ndarray/atleast2d
atleast_3d,@stdlib/ndarray/atleast3d
average,@stdlib/stats/mean
bartlett,(planned)
base_repr,N/A
binary_repr,N/A
bincount,(planned)
bitwise_and,(planned)
bitwise_count,(planned)
bitwise_invert,(planned)
bitwise_left_shift,(planned)
bitwise_not,(planned)
bitwise_or,(planned)
bitwise_right_shift,(planned)
bitwise_xor,(planned)
blackman,(planned)
block,(planned)
bmat,N/A
bool,@stdlib/ndarray/dtypes
bool_,@stdlib/ndarray/dtypes
broadcast,N/A
broadcast_arrays,@stdlib/ndarray/broadcast-arrays
broadcast_shapes,(planned)
broadcast_to,@stdlib/ndarray/broadcast-array
busday_count,(planned)
busday_offset,(planned)
busdaycalendar,(planned)
byte,N/A
bytes_,N/A
c_,N/A
can_cast,(planned)
cbrt,(planned)
cdouble,N/A
ceil,(planned)
char,N/A
character,N/A
choose,(planned)
clip,(planned)
clongdouble,N/A
column_stack,@stdlib/ndarray/colcat
common_type,(planned)
complex128,@stdlib/ndarray/dtypes
complex64,@stdlib/ndarray/dtypes
complexfloating,N/A
compress,(planned)
concat,@stdlib/ndarray/concat
concatenate,@stdlib/ndarray/concat
conj,(planned)
conjugate,(planned)
convolve,(planned)
copy,@stdlib/ndarray/copy
copysign,(planned)
copyto,(planned)
core,N/A
corrcoef,(planned)
correlate,(planned)
cos,(planned)
cosh,(planned)
count_nonzero,@stdlib/ndarray/count-truthy
cov,(planned)
cross,(planned)
csingle,N/A
ctypeslib,N/A
cumprod,(planned)
cumsum,@stdlib/blas/ext/cusum
datetime64,N/A
datetime_as_string,N/A
datetime_data,N/A
deg2rad,(planned)
degrees,(planned)
delete,(planned)
diag,(planned)
diag_indices,(planned)
diag_indices_from,(planned)
diagflat,(planned)
diagonal,(planned)
diff,(planned)
digitize,(planned)
divide,(planned)
divmod,(planned)
dot,(planned)
double,N/A
dsplit,(planned)
dstack,(planned)
dtype,@stdlib/ndarray/dtype-ctor
dtypes,@stdlib/ndarray/dtypes
e,@stdlib/constants/float64/e
ediff1d,(planned)
einsum,(planned)
einsum_path,N/A
emath,N/A
empty,@stdlib/ndarray/empty
empty_like,@stdlib/ndarray/empty-like
equal,(planned)
errstate,N/A
euler_gamma,@stdlib/constants/float64/eulergamma
exceptions,N/A
exp,(planned)
exp2,(planned)
expand_dims,(planned)
expm1,(planned)
extract,(planned)
eye,(planned)
f2py,N/A
fabs,(planned)
fft,(planned)
fill_diagonal,@stdlib/ndarray/fill-diagonal
finfo,(planned)
fix,N/A
flatiter,(planned)
flatnonzero,(planned)
flexible,N/A
flip,@stdlib/ndarray/reverse-dimensions
fliplr,@stdlib/ndarray/fliplr
flipud,@stdlib/ndarray/flipud
float16,@stdlib/ndarray/dtypes
float32,@stdlib/ndarray/dtypes
float64,@stdlib/ndarray/dtypes
float_power,(planned)
floating,N/A
floor,(planned)
floor_divide,(planned)
fmax,(planned)
fmin,(planned)
fmod,(planned)
format_float_positional,N/A
format_float_scientific,N/A
frexp,(planned)
from_dlpack,(planned)
frombuffer,N/A
fromfile,(planned)
fromfunction,@stdlib/ndarray/full-by
fromiter,(planned)
frompyfunc,(planned)
fromregex,(planned)
fromstring,(planned)
full,@stdlib/ndarray/full
full_like,@stdlib/ndarray/full-like
gcd,(planned)
generic,N/A
genfromtxt,N/A
geomspace,(planned)
get_include,N/A
get_printoptions,N/A
getbufsize,N/A
geterr,N/A
geterrcall,N/A
gradient,(planned)
greater,(planned)
greater_equal,(planned)
half,(planned)
hamming,(planned)
hanning,(planned)
heaviside,(planned)
histogram,(planned)
histogram2d,(planned)
histogram_bin_edges,(planned)
histogramdd,(planned)
hsplit,(planned)
hstack,@stdlib/ndarray/hconcat
hypot,(planned)
i0,(planned)
identity,(planned)
iinfo,(planned)
imag,(planned)
in1d,N/A
index_exp,N/A
indices,(planned)
inexact,N/A
inf,@stdlib/constants/float/pinf
info,(planned)
inner,(planned)
insert,(planned)
int16,@stdlib/ndarray/dtypes
int32,@stdlib/ndarray/dtypes
int64,@stdlib/ndarray/dtypes
int8,@stdlib/ndarray/dtypes
int_,N/A
intc,N/A
integer,N/A
interp,(planned)
intersect1d,(planned)
intp,N/A
invert,(planned)
is_busday,(planned)
isclose,(planned)
iscomplex,(planned)
iscomplexobj,(planned)
isdtype,(planned)
isfinite,(planned)
isfortran,(planned)
isin,(planned)
isinf,(planned)
isnan,(planned)
isnat,(planned)
isneginf,(planned)
isposinf,(planned)
isreal,(planned)
isrealobj,(planned)
isscalar,(planned)
issubdtype,N/A
iterable,N/A
ix_,N/A
kaiser,(planned)
kron,(planned)
lcm,(planned)
ldexp,(planned)
left_shift,(planned)
less,(planned)
less_equal,(planned)
lexsort,(planned)
lib,N/A
linalg,N/A
linspace,@stdlib/blas/ext/linspace
little_endian,@stdlib/assert/is-little-endian
load,(planned)
loadtxt,(planned)
log,(planned)
log10,(planned)
log1p,(planned)
log2,(planned)
logaddexp,(planned)
logaddexp2,(planned)
logical_and,(planned)
logical_not,(planned)
logical_or,(planned)
logical_xor,(planned)
logspace,(planned)
long,N/A
longdouble,N/A
longlong,N/A
ma,(planned)
mask_indices,(planned)
matmul,(planned)
matrix,(planned)
matrix_transpose,@stdlib/ndarray/transpose
max,@stdlib/stats/max
maximum,(planned)
may_share_memory,(planned)
mean,@stdlib/stats/mean
median,(planned)
memmap,(planned)
meshgrid,(planned)
mgrid,(planned)
min,@stdlib/stats/min
min_scalar_type,(planned)
minimum,(planned)
mintypecode,N/A
mod,(planned)
modf,(planned)
