simple-statistics-7.0.2,stdlib
min,@stdlib/stats/base/min
max,@stdlib/stats/base/max
sum,@stdlib/blas/ext/base/gsum
sumSimple,@stdlib/blas/ext/base/gsumors
quantile,(planned)
quantileRank,(planned)
product,(planned)
minSorted,(planned)
maxSorted,(planned)
quantileSorted,(planned)
quantileRankSorted,(planned)
mean,@stdlib/stats/base/mean
meanSimple,@stdlib/stats/base/meanors
addToMean,N/A
mode,(planned)
modeSorted,(planned)
modeFast,N/A
median,(planned)
medianSorted,(planned)
harmonicMean,(planned)
geometricMean,(planned)
rootMeanSquare,(planned)
sampleSkewness,(planned)
variance,(planned)
sampleVariance,(planned)
standardDeviation,(planned)
sampleStandardDeviation,(planned)
medianAbsoluteDeviation,(planned)
interquartileRange,(planned)
sumNthPowerDeviations,N/A
zScore,(planned)
sampleCorrelation,(planned)
sampleCovariance,(planned)
rSquared,(planned)
linearRegression,(planned)
linearRegressionLine,(planned)
shuffle,@stdlib/random/shuffle
shuffleInPlace,@stdlib/random/shuffle
sampleWithReplacement,@stdlib/random/sample
sample,@stdlib/random/sample
BayesianClassifer,(planned)
PerceptronModel,(planned)
bernoulliDistribution,@stdlib/stats/base/dists/bernoulli
binomial,@stdlib/stats/base/dists/binomial
poisson,@stdlib/stats//base/dists/poisson
chiSquaredDistributionTable,@stdlib/stats/base/dists/chisquare
standardNormalTable,@stdlib/stats/base/dists/normal
tTest,@stdlib/stats/ttest
tTestTwoSample,@stdlib/stats/ttest2
permutationTest,(planned)
cumulativeStdNormalProbability,N/A
errorFunction,@stdlib/math/base/special/erf
inverseErrorFunction,@stdlib/math/base/special/erfinv
probit,(planned)
ckmeans,(planned)
equalIntervalBreaks,N/A
chunk,(planned)
mixin,(planned)
chiSquaredGoodnessOfFit,@stdlib/stats/chi2gof
epsilon,@stdlib/constants/math/float64-eps
factorial,@stdlib/math/base/special/factorial
gamma,@stdlib/math/base/special/gamma
gammaln,@stdlib/math/base/special/gammaln
uniqueCountSorted,N/A
extent,@stdlib/stats/base/range
extentSorted,(planned)
sampleKurtosis,(planned)
permutationsHeap,N/A
combinations,(planned)
combinationsReplacement,(planned)
combineMeans,N/A
combineVariances,N/A
subtractFromMean,(planned)
kernelDensityEstimation,(planned)
bisect,(planned)
quickselect,(planned)
