underscore-1.8.3,stdlib
each,utils/for-each
map,(planned)
reduce,(planned)
reduceRight,(planned)
find,utils/find
filter,(planned)
where,(maybe)
findWhere,N/A
reject,(maybe)
every,utils/every
some,utils/some
contains,utils/contains
invoke,N/A
pluck,utils/pluck
max,math/base/special/max
min,math/base/special/min
sortBy,N/A
groupBy,(planned)
indexBy,(maybe)
countBy,(planned)
shuffle,math/random/*
sample,math/random/*
toArray,N/A
size,N/A
partition,(planned)
first,N/A
initial,N/A
last,N/A
rest,(maybe)
compact,(maybe)
flatten,utils/flatten
without,(maybe)
union,(planned)
intersection,(planned)
difference,(planned)
uniq,(planned)
zip,utils/zip
unzip,utils/unzip
object,N/A
indexOf,utils/index-of
lastIndexOf,(planned)
sortedIndex,(planned)
findIndex,utils/find
findLastIndex,utils/find
range,math/utils/*
bind,(planned)
bindAll,(planned)
partial,utils/papply
memoize,utils/memoize
delay,(planned)
throttle,(planned)
debounce,(planned)
once,(planned)
after,(planned)
before,(planned)
wrap,N/A
negate,N/A
compose,utils/compose
keys,(planned)
allKeys,(planned)
values,utils/values
mapObject,(planned)
pairs,utils/entries
invert,utils/object-inverse
create,(planned)
functions,N/A
findKey,N/A
extend,utils/merge
extendOwn,utils/merge
pick,utils/pick and utils/pick-by
omit,utils/omit and utils/omit-by
defaults,N/A
clone,utils/copy
tap,N/A
has,assert/has-own-property
matcher,(maybe)
property,(maybe)
propertyOf,N/A
isEqual,(planned)
isElement,N/A
isArray,assert/is-array
isObject,assert/is-object
isArguments,assert/is-arguments
isFunction,assert/is-function
isString,assert/is-string
isNumber,assert/is-number
isFinite,(planned)
isBoolean,assert/is-boolean
isDate,assert/is-date-object
isRegExp,assert/is-regexp
isError,assert/is-error
isNaN,assert/is-nan
isNull,assert/is-null
isUndefined,assert/is-undefined
noConflict,N/A
identity,utils/identity-function
constant,utils/constant-function
noop,utils/noop
times,(planned)
random,math/base/random/*
mixin,utils/merge
iteratee,N/A
uniqueId,N/A
escape,(planned)
unescape,(planned)
result,N/A
now,time/now
template,(planned)
