education,south,gender,experience,union,wage,age,race,occupation,sector,married
8,0,female,21,1,5.1,35,hispanic,other,manufacturing,0
9,0,female,42,1,4.95,57,white,other,manufacturing,0
12,0,male,1,1,6.67,19,white,other,manufacturing,1
12,0,male,4,1,4,22,white,other,other,1
12,0,male,17,1,7.5,35,white,other,other,0
13,0,male,9,0,13.07,28,white,other,other,1
10,1,male,27,1,4.45,43,white,other,other,1
12,0,male,9,1,19.47,27,white,other,other,1
16,0,male,11,1,13.28,33,white,other,manufacturing,0
12,0,male,9,1,8.75,27,white,other,other,1
12,0,male,17,0,11.35,35,white,other,other,0
12,0,male,19,0,11.5,37,white,other,manufacturing,1
8,1,male,27,1,6.5,41,white,other,other,0
9,1,male,30,0,6.25,45,white,other,other,1
9,1,male,29,1,19.98,44,white,other,other,0
12,0,male,37,1,7.3,55,white,other,construction,0
7,1,male,44,1,8,57,white,other,other,0
12,0,male,26,0,22.2,44,white,other,manufacturing,0
11,0,male,16,1,3.65,33,white,other,other,1
12,0,male,33,1,20.55,51,white,other,other,0
12,0,female,16,0,5.71,34,white,other,manufacturing,0
7,0,male,42,0,7,55,other,other,manufacturing,0
12,0,male,9,1,3.75,27,white,other,other,1
11,1,male,14,1,4.5,31,other,other,other,0
12,0,male,23,1,9.56,41,white,other,other,0
6,1,male,45,1,5.75,57,white,other,manufacturing,0
12,0,male,8,1,9.36,26,white,other,manufacturing,0
10,0,male,30,1,6.5,46,white,other,other,0
12,0,female,8,1,3.35,26,white,other,manufacturing,0
12,0,male,8,1,4.75,26,white,other,other,0
14,0,male,13,1,8.9,33,white,other,other,1
12,1,female,46,1,4,64,white,other,other,1
8,0,male,19,1,4.7,33,white,other,other,0
17,1,female,1,1,5,24,white,other,other,1
12,0,male,19,1,9.25,37,white,other,manufacturing,1
12,0,male,36,1,10.67,54,other,other,other,1
12,1,male,20,1,7.61,38,other,other,construction,0
12,0,male,35,0,10,53,other,other,construction,0
12,0,male,3,1,7.5,21,white,other,other,1
14,1,male,10,1,12.2,30,white,other,manufacturing,0
12,0,male,0,1,3.35,18,white,other,other,1
14,1,male,14,0,11,34,white,other,manufacturing,0
12,0,male,14,1,12,32,white,other,manufacturing,0
9,0,female,16,1,4.85,31,white,other,manufacturing,0
13,1,male,8,1,4.3,27,white,other,construction,1
7,1,female,15,1,6,28,white,other,manufacturing,0
16,0,male,12,1,15,34,white,other,manufacturing,0
10,1,male,13,1,4.85,29,white,other,other,1
8,0,male,33,0,9,47,white,other,other,0
12,0,male,9,1,6.36,27,white,other,manufacturing,0
