year,month,date_of_month,day_of_week,births
1969,1,1,3,8486
1969,1,2,4,9002
1969,1,3,5,9542
1969,1,4,6,8960
1969,1,5,7,8390
1969,1,6,1,9560
1969,1,7,2,9738
1969,1,8,3,9734
1969,1,9,4,9434
1969,1,10,5,10042
1969,1,11,6,9178
1969,1,12,7,8450
1969,1,13,1,9834
1969,1,14,2,10366
1969,1,15,3,9894
1969,1,16,4,9662
1969,1,17,5,9974
1969,1,18,6,9312
1969,1,19,7,8622
1969,1,20,1,9808
1969,1,21,2,10474
1969,1,22,3,9884
1969,1,23,4,9454
1969,1,24,5,9798
1969,1,25,6,9022
1969,1,26,7,8568
1969,1,27,1,9910
1969,1,28,2,10032
1969,1,29,3,9380
1969,1,30,4,9674
1969,1,31,5,9692
1969,2,1,6,9130
1969,2,2,7,8814
1969,2,3,1,9988
1969,2,4,2,9996
1969,2,5,3,9676
1969,2,6,4,9728
1969,2,7,5,10102
1969,2,8,6,9262
1969,2,9,7,8694
1969,2,10,1,9954
1969,2,11,2,9856
1969,2,12,3,10008
1969,2,13,4,9606
1969,2,14,5,10354
1969,2,15,6,9310
1969,2,16,7,8534
1969,2,17,1,9822
1969,2,18,2,10176
1969,2,19,3,9816
1969,2,20,4,9982
1969,2,21,5,9916
1969,2,22,6,9152
1969,2,23,7,8704
1969,2,24,1,9966
1969,2,25,2,10566
1969,2,26,3,10048
1969,2,27,4,9618
1969,2,28,5,9756
1969,3,1,6,9186
1969,3,2,7,8580
1969,3,3,1,10068
1969,3,4,2,10264
1969,3,5,3,10046
1969,3,6,4,9704
1969,3,7,5,9948
1969,3,8,6,9334
1969,3,9,7,8394
1969,3,10,1,9892
1969,3,11,2,10188
1969,3,12,3,9776
1969,3,13,4,9640
1969,3,14,5,10034
1969,3,15,6,8838
1969,3,16,7,8336
1969,3,17,1,10128
1969,3,18,2,10136
1969,3,19,3,10064
1969,3,20,4,9812
1969,3,21,5,9902
1969,3,22,6,8962
1969,3,23,7,8602
1969,3,24,1,9802
1969,3,25,2,10272
1969,3,26,3,9818
1969,3,27,4,9698
1969,3,28,5,10326
1969,3,29,6,8908
1969,3,30,7,8186
1969,3,31,1,9592
1969,4,1,2,9960
1969,4,2,3,9978
1969,4,3,4,9530
1969,4,4,5,9572
1969,4,5,6,8748
1969,4,6,7,8008
1969,4,7,1,9374
1969,4,8,2,10176
1969,4,9,3,9852
1969,4,10,4,9708
1969,4,11,5,9920
1969,4,12,6,8940
1969,4,13,7,8134
1969,4,14,1,9566
1969,4,15,2,10428
1969,4,16,3,9840
1969,4,17,4,9876
1969,4,18,5,9872
1969,4,19,6,8994
1969,4,20,7,7928
1969,4,21,1,9610
1969,4,22,2,10226
1969,4,23,3,9868
1969,4,24,4,9472
1969,4,25,5,9646
1969,4,26,6,8922
1969,4,27,7,7966
1969,4,28,1,9518
1969,4,29,2,9700
1969,4,30,3,9138
1969,5,1,4,9206
1969,5,2,5,9736
1969,5,3,6,8768
1969,5,4,7,8094
1969,5,5,1,9930
1969,5,6,2,9964
1969,5,7,3,9626
1969,5,8,4,9484
1969,5,9,5,9362
1969,5,10,6,8516
1969,5,11,7,8122
1969,5,12,1,9306
