race,year,infant_mortality_rate
black,1915,195.2
black,1916,184.3
black,1917,173.4
black,1918,162.5
black,1919,134.3
black,1920,135.6
black,1921,110.7
black,1922,111.6
black,1923,119.9
black,1924,114.1
black,1925,112.0
black,1926,112.1
black,1927,99.9
black,1928,105.9
black,1929,101.5
black,1930,99.5
black,1931,92.7
black,1932,84.1
black,1933,85.4
black,1934,91.0
black,1935,81.9
black,1936,86.1
black,1937,82.0
black,1938,77.9
black,1939,73.2
black,1940,72.9
black,1941,74.1
black,1942,64.2
black,1943,61.5
black,1944,59.3
black,1945,56.2
black,1946,48.8
black,1947,47.7
black,1948,45.7
black,1949,46.8
black,1950,43.9
black,1951,44.3
black,1952,46.9
black,1953,44.5
black,1954,42.9
black,1955,43.1
black,1956,42.4
black,1957,44.2
black,1958,46.3
black,1959,44.8
black,1960,44.3
black,1961,41.8
black,1962,42.6
black,1963,42.8
black,1964,42.3
black,1965,41.7
black,1966,40.2
black,1967,37.5
black,1968,36.2
black,1969,34.8
black,1970,33.3
black,1971,30.9
black,1972,30.3
black,1973,28.8
black,1974,27.5
black,1975,27.0
black,1976,26.4
black,1977,24.4
black,1978,23.9
black,1979,22.6
black,1980,22.2
black,1981,20.8
black,1982,20.5
black,1983,20.0
black,1984,19.2
black,1985,19.0
black,1986,18.9
black,1987,18.8
black,1988,18.5
black,1989,18.6
black,1990,18.0
black,1991,17.6
black,1992,16.8
black,1993,16.5
black,1994,15.8
black,1995,15.1
black,1996,14.7
black,1997,14.2
black,1998,14.3
black,1999,14.6
black,2000,14.1
black,2001,14.0
black,2002,14.4
black,2003,13.5
black,2004,13.2
black,2005,13.3
black,2006,12.9
black,2007,13.3
black,2008,12.7
black,2009,12.4
black,2010,11.5
black,2011,11.2
black,2012,10.9
black,2013,10.8
white,1915,98.6
white,1916,99.0
white,1917,98.2
white,1918,97.4
white,1919,83.0
white,1920,82.1
white,1921,72.5
white,1922,73.2
white,1923,73.5
white,1924,66.8
white,1925,68.3
white,1926,70.0
white,1927,60.6
white,1928,64.0
white,1929,63.2
white,1930,60.1
white,1931,57.4
white,1932,53.3
white,1933,52.8
white,1934,54.5
white,1935,51.9
white,1936,52.9
white,1937,50.3
white,1938,47.1
white,1939,44.3
white,1940,43.2
white,1941,41.2
white,1942,37.3
white,1943,37.5
white,1944,36.9
white,1945,35.6
white,1946,31.8
white,1947,30.1
white,1948,29.9
white,1949,28.9
white,1950,26.8
white,1951,25.8
white,1952,25.5
white,1953,25.0
white,1954,23.9
white,1955,23.6
white,1956,23.2
white,1957,23.3
white,1958,23.8
white,1959,23.2
white,1960,22.9
white,1961,22.4
white,1962,22.3
white,1963,22.2
white,1964,21.6
white,1965,21.5
white,1966,20.6
white,1967,19.7
white,1968,19.2
white,1969,18.4
white,1970,17.6
white,1971,17.0
white,1972,16.2
white,1973,15.6
white,1974,14.7
white,1975,14.0
white,1976,13.2
white,1977,12.2
white,1978,11.9
white,1979,11.3
white,1980,10.9
white,1981,10.3
white,1982,9.9
white,1983,9.6
white,1984,9.3
white,1985,9.2
white,1986,8.8
white,1987,8.5
white,1988,8.4
white,1989,8.1
white,1990,7.6
white,1991,7.3
white,1992,6.9
white,1993,6.8
white,1994,6.6
white,1995,6.3
white,1996,6.1
white,1997,6.0
white,1998,6.0
white,1999,5.8
white,2000,5.7
white,2001,5.7
white,2002,5.8
white,2003,5.7
white,2004,5.7
white,2005,5.7
white,2006,5.6
white,2007,5.6
white,2008,5.5
white,2009,5.3
white,2010,5.2
white,2011,5.1
white,2012,5.1
white,2013,5.1
