date,all_workers,hourly_workers,non_hourly_workers,less_than_high_school,high_school,some_college,college,construction,finance,manufacturing
01/1/1980,,,,,,,,,,
02/1/1980,,,,,,,,,,
03/1/1980,,,,,,,,,,
04/1/1980,,,,,,,,,,
05/1/1980,,,,,,,,,,
06/1/1980,,,,,,,,,,
07/1/1980,,,,,,,,,,
08/1/1980,,,,,,,,,,
09/1/1980,,,,,,,,,,
10/1/1980,,,,,,,,,,
11/1/1980,,,,,,,,,,
12/1/1980,6.6051640043,7.1045695125,6.0894170021,8.2848121697,7.281848362,5.5040371904,5.0382060963,,,
01/1/1981,6.6133956828,7.1661873534,6.0443434409,8.1660029649,7.4460828679,5.4878128959,4.8829432012,,,
02/1/1981,6.6983213317,7.3010694756,6.0813412079,8.3833102331,7.4245985834,5.8163677583,4.9026024063,,,
03/1/1981,6.7864103977,7.4189910849,6.1422436597,8.4621050714,7.5215794584,5.8352532713,5.0952797566,,,
04/1/1981,6.7462924754,7.38139413,6.0986112641,8.2335435165,7.4192563569,5.7956101647,5.3133191553,,,
05/1/1981,6.8042135585,7.5058785398,6.1101393769,8.3995595371,7.3820496508,5.8949528217,5.3521177734,,,
06/1/1981,6.7665064655,7.372852509,6.1753624408,8.232407227,7.4647686717,5.6933705898,5.3999027478,,,
07/1/1981,6.7144888319,7.2509574444,6.188415615,7.8156333052,7.5058145206,5.7005519391,5.504374931,,,
08/1/1981,6.7712377987,7.3276541565,6.2205703786,8.0756629205,7.5319628053,5.8069874977,5.3892069066,,,
09/1/1981,6.834380846,7.2901534095,6.3829693198,7.7629538667,7.7159701462,5.6064683016,5.7345428244,,,
10/1/1981,6.7197482603,7.2949711584,6.129639712,7.8835592916,7.5984970382,5.3644686148,5.5539963357,,,
11/1/1981,6.8095445279,7.2896898945,6.3232345938,7.8209559437,7.6031873127,5.6951264319,5.7152220752,,,
12/1/1981,6.8536732812,7.336819217,6.3624844656,7.9154695513,7.6101013168,5.8238285443,5.7830817521,,,
01/1/1982,7.0708930223,7.5652111665,6.5607356133,8.0589045028,7.8957623857,6.0391689237,5.9179872108,,,
02/1/1982,7.2237516191,7.6948400985,6.7357792854,8.0465508614,8.2566079702,5.9511592269,5.9965998585,,,
03/1/1982,7.2073612832,7.5929552405,6.7971065615,8.0882355507,8.2790659798,5.8291346512,5.9273870128,,,
04/1/1982,7.4477078865,7.8904447477,6.9771710524,8.7692595288,8.596601758,5.8289944811,6.0208246857,,,
05/1/1982,7.5247541054,7.8781403729,7.1183275163,8.9459884437,8.7044786997,5.7315353981,6.1764300534,,,
06/1/1982,7.5892524989,8.143638464,6.94948471,9.1763554092,8.635573311,6.1263355961,6.0295682924,,,
07/1/1982,7.7772552141,8.467181654,6.9605676722,9.8827243066,8.6842234579,6.5019931588,5.8770657418,,,
08/1/1982,7.968119413,8.7969529325,6.9629742293,10.188810285,8.8698238778,6.858449196,5.8432604778,,,
09/1/1982,8.2066007444,9.1871724787,7.0218062116,10.6114196854,8.9954956462,7.3583639114,5.985412267,,,
10/1/1982,8.3389596528,9.3612560928,7.1024496644,10.7135546073,9.15455153,7.4520732459,6.0927684303,,,
11/1/1982,8.4992501267,9.776521369,6.9862888755,11.0762077322,9.36927983,7.5232184249,6.1062940795,,,
12/1/1982,8.4774330203,9.8346158714,6.8769075015,11.1094948978,9.3389198016,7.5225912125,6.0436227312,,,
01/1/1983,8.6462433716,10.026210536,7.0249381913,11.6814705056,9.1819013417,7.8076268027,6.2973927973,,,
02/1/1983,8.8515827643,10.4507171304,6.9721236865,12.5754162986,9.3601239466,7.9319564408,6.1815860713,,,
03/1/1983,9.1272277736,10.9767930802,6.9964687173,12.964344689,9.5623413027,8.5719976431,6.2609496502,,,
04/1/1983,9.3404192122,11.2685919216,7.122879617,13.1280394506,9.7815548265,9.041196826,6.2739009054,,,
05/1/1983,9.5676635765,11.6044137606,7.230102154,13.2140129997,10.1246512545,9.2754756494,6.417598266,,,
06/1/1983,9.9382054575,12.0003692985,7.5665037834,14.2878632233,10.728976446,9.0737373251,6.4403347523,,,
07/1/1983,10.1717211187,12.1822263017,7.8603895394,14.2535249121,11.2608177439,8.9292532559,6.7474098338,,,
08/1/1983,10.3504454563,12.3423000343,8.0433972612,14.1719409259,11.4700108203,9.1024792286,7.0621499064,,,
09/1/1983,10.3690875051,12.3505530044,8.0192210769,14.222705314,11.4444271084,9.3432039734,6.7068409166,,,
10/1/1983,10.6747733666,12.675745123,8.2574030222,14.6837149038,11.7993088094,9.5531695608,6.9337995567,,,
11/1/1983,10.7710825462,12.6944898099,8.402334956,14.9818309171,11.8453645605,9.6258240563,7.0391877435,,,
12/1/1983,10.8995756999,12.8682381368,8.462928472,14.8844383059,12.1945789731,9.6894971359,7.0704772408,16.6367712057,8.0002140675,9.7111544871
01/1/1984,11.0251062614,13.1180449313,8.4270202001,15.288981853,12.3721637024,9.683449795,7.1559469386,17.6930537105,7.9538619561,9.7671202956
02/1/1984,11.0184390507,13.0435879214,8.4922516987,14.8893447502,12.4487687225,9.9979667742,7.0012057957,16.9423657091,8.2010495379,9.7121466287
03/1/1984,11.0043617035,12.9689226283,8.4974828672,14.8791136373,12.4703241956,9.7780251772,7.116078169,16.7884211503,8.0483303036,9.4287399253
04/1/1984,10.9822209966,12.9847588229,8.4360651656,14.7948085853,12.2250574533,9.9112403325,7.3668504587,15.7692931448,8.5061284776,9.8460484591
05/1/1984,11.035970028,13.1514754031,8.3274012534,14.9146600305,12.2407316746,10.1854787056,7.2814875378,16.4509142796,8.3977115481,9.6704012217
06/1/1984,10.9009618929,12.9762221905,8.2153487488,14.2343355362,12.0607496958,10.3837804348,7.2655839612,16.2321494237,7.8304486403,9.3591902713
07/1/1984,10.9262882608,13.100634788,8.1351611514,14.5788018482,11.814333908,10.4725029539,7.4735452401,16.1088373248,7.5261252988,9.541071024
08/1/1984,10.891844203,13.084173184,8.0800013034,15.0238890021,11.7244357415,10.4671314609,7.2363365379,15.4025485246,8.1809364111,10.1183593057
09/1/1984,10.950509104,13.2952028846,7.9588008441,15.1859779255,12.0118114962,10.2422391027,7.254893108,15.625924896,8.2311737021,10.5311702214
10/1/1984,10.7786233395,13.067871241,7.8890920709,15.2890565873,11.7180238363,10.0340501937,7.2241881652,15.5469333037,7.7642756401,10.8692567777
11/1/1984,10.7990895549,13.1645510182,7.8147073584,15.0176699057,11.7066993188,10.1986224357,7.1696936069,15.5269141674,7.5360523509,10.8981896563
12/1/1984,10.9972219093,13.4482165949,7.8746511729,15.4475344223,11.690626259,10.5758658203,7.2160182542,15.4981658063,7.2149294444,11.1285858599
01/1/1985,10.972967492,13.4797456823,7.77232338,15.2631030325,11.7447580763,10.4632196242,7.2960104637,14.7411464536,7.2013381732,11.3238358538
02/1/1985,11.3176773818,13.8251927286,8.0838147406,15.8994208794,11.9674190429,10.4885897382,7.8958623647,14.6353730388,7.1534112379,11.5764126129
03/1/1985,11.3536993845,13.7866766092,8.2148929591,15.3252155307,12.1705369046,10.4638587094,8.0523738299,14.5366811309,7.5047634611,11.9850869209
04/1/1985,11.4314360079,14.0505438967,8.0702437347,15.454854092,12.5882422542,10.136979812,7.8675895488,15.5062981329,7.0073639819,11.8382780603
05/1/1985,11.327165817,13.80517486,8.1539301044,15.405816924,12.3413904152,10.1760075324,7.7813921865,14.88669927,7.6055422613,12.0350341066
06/1/1985,11.4085312238,13.9030761578,8.2292368286,15.4654566019,12.5360638828,10.1802553556,7.7963447478,14.4675947209,9.0836905636,12.5225722484
07/1/1985,,,,,,,,,,
08/1/1985,,,,,,,,,,
09/1/1985,,,,,,,,,,
10/1/1985,,,,,,,,,,
11/1/1985,,,,,,,,,,
12/1/1985,,,,,,,,,,
01/1/1986,,,,,,,,,,
02/1/1986,,,,,,,,,,
03/1/1986,,,,,,,,,,
04/1/1986,,,,,,,,,,
05/1/1986,,,,,,,,,,
06/1/1986,,,,,,,,,,
07/1/1986,,,,,,,,,,
08/1/1986,,,,,,,,,,
09/1/1986,,,,,,,,,,
10/1/1986,,,,,,,,,,
11/1/1986,,,,,,,,,,
12/1/1986,,,,,,,,,,
01/1/1987,,,,,,,,,,
02/1/1987,,,,,,,,,,
03/1/1987,,,,,,,,,,
04/1/1987,,,,,,,,,,
05/1/1987,,,,,,,,,,
06/1/1987,,,,,,,,,,
07/1/1987,,,,,,,,,,
08/1/1987,,,,,,,,,,
09/1/1987,11.9283851594,14.9782471395,7.7211839299,16.8069942208,12.8244798861,12.129849779,7.4930467375,17.7663163805,8.5857444649,13.7109129272
10/1/1987,11.8917151084,14.9838536253,7.6470880074,16.6696304213,12.923127195,12.0153750798,7.3174708599,17.8319311629,8.5007725441,13.158607499
11/1/1987,11.9987394983,15.2127044914,7.5676249557,16.4729153105,13.1965073814,12.1839944779,7.1806143008,18.7443345172,8.2819091354,13.4077806812
12/1/1987,12.1605130812,15.4387339217,7.5814328116,16.0054507673,13.4648431879,12.4764399187,7.3175881341,19.1507702907,8.8652886673,13.3640635211
01/1/1988,12.2581603271,15.5595344313,7.6392641352,16.2195644638,13.5825178598,12.4879107486,7.3597469433,20.3046620077,8.6679651669,13.3106964009
02/1/1988,12.3285342187,15.5948665639,7.8075805774,16.3757020753,13.6651647532,12.4642402852,7.6141417649,18.8589826576,8.7286469811,13.4490373283
03/1/1988,12.3168410976,15.4928040174,7.9031098986,16.6212574109,13.633077593,12.4443488279,7.5859115627,18.8732037245,8.4651784742,12.8199979133
04/1/1988,12.2047508213,15.3758035474,7.8042868704,16.8019339097,13.5573642299,11.9138470347,7.7115776907,20.143490489,8.342523697,12.3642413399
05/1/1988,12.3711126643,15.4051046995,8.1120974981,16.9049834653,13.5671598701,11.8851627994,8.4031265925,20.1927735177,8.4273082832,12.2807693015
06/1/1988,12.1207930423,15.1645487563,7.8410975747,16.9350299868,13.3472236119,11.4685748261,8.073305034,19.3309882372,8.3531016338,11.9398304903
07/1/1988,11.8960771443,14.7192140176,7.9184020233,16.0527753448,13.1296044942,11.1572931706,8.2817813745,18.5980211603,8.2993789906,11.3294196668
