reading,mote_id,indoor,humidity,temperature,label
1,1,0,43.82,30.21,0
2,1,0,43.79,30.2,0
3,1,0,43.79,30.19,0
4,1,0,43.79,30.19,0
5,1,0,43.79,30.19,0
6,1,0,43.79,30.19,0
7,1,0,43.79,30.19,0
8,1,0,43.79,30.19,0
9,1,0,43.79,30.21,0
10,1,0,43.79,30.22,0
11,1,0,43.82,30.23,0
12,1,0,43.82,30.23,0
13,1,0,43.79,30.23,0
14,1,0,43.79,30.24,0
15,1,0,43.82,30.24,0
16,1,0,43.85,30.23,0
17,1,0,43.85,30.23,0
18,1,0,43.85,30.23,0
19,1,0,43.85,30.22,0
20,1,0,43.85,30.21,0
21,1,0,43.85,30.22,0
22,1,0,43.85,30.22,0
23,1,0,43.85,30.22,0
24,1,0,43.88,30.22,0
25,1,0,43.92,30.21,0
26,1,0,43.88,30.21,0
27,1,0,43.85,30.22,0
28,1,0,43.82,30.23,0
29,1,0,43.82,30.23,0
30,1,0,43.79,30.23,0
31,1,0,43.82,30.23,0
32,1,0,43.79,30.23,0
33,1,0,43.82,30.24,0
34,1,0,43.85,30.24,0
35,1,0,43.88,30.24,0
36,1,0,43.92,30.23,0
37,1,0,43.92,30.23,0
38,1,0,43.92,30.22,0
39,1,0,43.85,30.23,0
40,1,0,43.88,30.24,0
41,1,0,43.88,30.21,0
42,1,0,43.92,30.22,0
43,1,0,43.88,30.19,0
44,1,0,43.88,30.21,0
45,1,0,43.92,30.19,0
46,1,0,43.92,30.2,0
47,1,0,43.92,30.19,0
48,1,0,43.98,30.19,0
49,1,0,43.98,30.19,0
50,1,0,44.02,30.19,0
51,1,0,44.02,30.19,0
52,1,0,43.98,30.2,0
53,1,0,43.98,30.2,0
54,1,0,44.05,30.19,0
55,1,0,44.05,30.19,0
56,1,0,44.05,30.2,0
57,1,0,44.02,30.21,0
58,1,0,44.05,30.2,0
59,1,0,44.05,30.19,0
60,1,0,44.05,30.19,0
61,1,0,44.08,30.19,0
62,1,0,44.05,30.21,0
63,1,0,44.05,30.21,0
64,1,0,44.02,30.21,0
65,1,0,43.98,30.19,0
66,1,0,43.98,30.18,0
67,1,0,44.02,30.18,0
68,1,0,44.02,30.18,0
69,1,0,43.98,30.19,0
70,1,0,43.98,30.19,0
71,1,0,43.95,30.19,0
72,1,0,43.98,30.19,0
73,1,0,43.98,30.19,0
74,1,0,43.98,30.19,0
75,1,0,44.05,30.18,0
76,1,0,44.05,30.17,0
77,1,0,44.05,30.17,0
78,1,0,44.12,30.16,0
79,1,0,44.12,30.15,0
80,1,0,44.12,30.15,0
81,1,0,44.12,30.15,0
82,1,0,44.08,30.15,0
83,1,0,44.05,30.15,0
84,1,0,44.08,30.13,0
85,1,0,44.12,30.13,0
86,1,0,44.12,30.13,0
87,1,0,44.15,30.13,0
88,1,0,44.18,30.12,0
89,1,0,44.15,30.14,0
90,1,0,44.15,30.15,0
91,1,0,44.15,30.14,0
92,1,0,44.15,30.16,0
93,1,0,44.18,30.14,0
94,1,0,44.18,30.14,0
95,1,0,44.15,30.15,0
96,1,0,44.15,30.15,0
97,1,0,44.15,30.15,0
98,1,0,44.15,30.15,0
99,1,0,44.18,30.13,0
100,1,0,44.18,30.12,0
101,1,0,44.18,30.12,0
102,1,0,44.22,30.11,0
103,1,0,44.25,30.1,0
104,1,0,44.25,30.09,0
105,1,0,44.25,30.08,0
106,1,0,44.25,30.09,0
107,1,0,44.25,30.1,0
108,1,0,44.28,30.1,0
109,1,0,44.35,30.09,0
110,1,0,44.35,30.09,0
111,1,0,44.35,30.09,0
112,1,0,44.32,30.11,0
113,1,0,44.28,30.11,0
114,1,0,44.28,30.12,0
115,1,0,44.25,30.14,0
116,1,0,44.22,30.16,0
117,1,0,44.18,30.17,0
118,1,0,44.22,30.15,0
119,1,0,44.22,30.15,0
120,1,0,44.25,30.14,0
121,1,0,44.28,30.14,0
122,1,0,44.28,30.13,0
123,1,0,44.28,30.13,0
124,1,0,44.28,30.13,0
125,1,0,44.25,30.13,0
126,1,0,44.25,30.13,0
127,1,0,44.25,30.12,0
128,1,0,44.25,30.11,0
129,1,0,44.25,30.11,0
130,1,0,44.25,30.12,0
131,1,0,44.25,30.13,0
132,1,0,44.22,30.15,0
133,1,0,44.22,30.17,0
134,1,0,44.18,30.18,0
135,1,0,44.18,30.18,0
136,1,0,44.18,30.17,0
137,1,0,44.18,30.18,0
138,1,0,44.18,30.17,0
139,1,0,44.18,30.18,0
140,1,0,44.15,30.19,0
141,1,0,44.18,30.18,0
142,1,0,44.15,30.18,0
143,1,0,44.12,30.19,0
144,1,0,44.18,30.18,0
145,1,0,44.25,30.2,0
146,1,0,44.25,30.19,0
147,1,0,44.32,30.16,0
148,1,0,44.28,30.17,0
149,1,0,44.25,30.17,0
150,1,0,44.22,30.2,0
151,1,0,44.18,30.21,0
152,1,0,44.12,30.23,0
153,1,0,44.12,30.22,0
154,1,0,44.12,30.23,0
155,1,0,44.15,30.22,0
156,1,0,44.15,30.24,0
157,1,0,44.12,30.27,0
158,1,0,44.05,30.28,0
159,1,0,44.05,30.27,0
160,1,0,44.05,30.29,0
161,1,0,44.02,30.27,0
162,1,0,44.05,30.25,0
163,1,0,43.98,30.25,0
164,1,0,44.05,30.23,0
165,1,0,44.05,30.23,0
166,1,0,44.05,30.24,0
167,1,0,44.08,30.22,0
168,1,0,44.12,30.22,0
169,1,0,44.12,30.23,0
170,1,0,44.12,30.23,0
171,1,0,44.08,30.23,0
172,1,0,44.12,30.23,0
173,1,0,44.12,30.23,0
174,1,0,44.12,30.23,0
175,1,0,44.08,30.25,0
176,1,0,44.05,30.26,0
177,1,0,43.98,30.28,0
178,1,0,43.98,30.29,0
179,1,0,43.95,30.3,0
180,1,0,43.95,30.33,0
181,1,0,43.92,30.34,0
182,1,0,43.92,30.33,0
183,1,0,43.92,30.31,0
184,1,0,43.88,30.29,0
185,1,0,43.88,30.29,0
186,1,0,43.85,30.29,0
187,1,0,43.85,30.28,0
188,1,0,43.85,30.28,0
189,1,0,43.82,30.28,0
190,1,0,43.79,30.27,0
191,1,0,43.79,30.27,0
192,1,0,43.82,30.28,0
193,1,0,43.85,30.28,0
194,1,0,43.92,30.32,0
195,1,0,43.88,30.33,0
196,1,0,43.85,30.31,0
197,1,0,43.95,30.27,0
198,1,0,43.95,30.27,0
199,1,0,43.95,30.27,0
200,1,0,43.95,30.27,0
201,1,0,43.92,30.26,0
202,1,0,43.95,30.27,0
203,1,0,43.92,30.26,0
204,1,0,43.95,30.27,0
205,1,0,43.92,30.27,0
206,1,0,43.85,30.27,0
207,1,0,43.85,30.28,0
208,1,0,43.92,30.27,0
209,1,0,43.92,30.25,0
210,1,0,43.95,30.24,0
211,1,0,43.95,30.23,0
212,1,0,43.98,30.23,0
213,1,0,44.02,30.23,0
214,1,0,44.02,30.23,0
215,1,0,44.05,30.23,0
216,1,0,44.02,30.22,0
217,1,0,44.05,30.23,0
218,1,0,44.12,30.23,0
219,1,0,44.12,30.26,0
220,1,0,44.12,30.27,0
221,1,0,44.08,30.29,0
222,1,0,44.05,30.3,0
223,1,0,44.05,30.32,0
224,1,0,44.05,30.34,0
225,1,0,44.05,30.34,0
226,1,0,44.05,30.33,0
227,1,0,43.98,30.33,0
228,1,0,43.98,30.32,0
229,1,0,43.98,30.32,0
230,1,0,43.98,30.31,0
231,1,0,44.02,30.3,0
232,1,0,44.12,30.32,0
233,1,0,44.12,30.33,0
234,1,0,44.15,30.32,0
235,1,0,44.15,30.37,0
236,1,0,44.12,30.37,0
237,1,0,44.12,30.36,0
