reading,mote_id,indoor,humidity,temperature,label
1,1,1,45.93,27.97,0
2,1,1,45.9,27.95,0
3,1,1,45.9,27.96,0
4,1,1,45.93,27.95,0
5,1,1,45.93,27.97,0
6,1,1,45.9,27.98,0
7,1,1,45.9,27.95,0
8,1,1,45.97,27.94,0
9,1,1,46,27.92,0
10,1,1,46.1,27.92,0
11,1,1,46.1,27.9,0
12,1,1,46.2,27.89,0
13,1,1,46.26,27.88,0
14,1,1,46.3,27.88,0
15,1,1,46.23,27.87,0
16,1,1,46.16,27.87,0
17,1,1,46.13,27.85,0
18,1,1,46.1,27.86,0
19,1,1,46.1,27.86,0
20,1,1,46.07,27.84,0
21,1,1,46.1,27.87,0
22,1,1,46.03,27.87,0
23,1,1,46.03,27.85,0
24,1,1,46.03,27.86,0
25,1,1,46.03,27.85,0
26,1,1,46.03,27.84,0
27,1,1,46.03,27.82,0
28,1,1,46.1,27.82,0
29,1,1,46.1,27.83,0
30,1,1,46.1,27.84,0
31,1,1,46.1,27.83,0
32,1,1,46.07,27.83,0
33,1,1,46.07,27.83,0
34,1,1,46.1,27.83,0
35,1,1,46.1,27.83,0
36,1,1,46.03,27.83,0
37,1,1,46,27.83,0
38,1,1,45.97,27.82,0
39,1,1,45.93,27.81,0
40,1,1,45.9,27.8,0
41,1,1,45.87,27.82,0
42,1,1,45.9,27.82,0
43,1,1,45.9,27.8,0
44,1,1,45.9,27.81,0
45,1,1,45.93,27.78,0
46,1,1,45.97,27.78,0
47,1,1,45.97,27.81,0
48,1,1,45.97,27.8,0
49,1,1,45.97,27.81,0
50,1,1,46,27.8,0
51,1,1,45.97,27.79,0
52,1,1,45.97,27.77,0
53,1,1,46,27.76,0
54,1,1,45.97,27.76,0
55,1,1,46,27.76,0
56,1,1,46,27.76,0
57,1,1,46.03,27.75,0
58,1,1,45.97,27.72,0
59,1,1,46,27.72,0
60,1,1,46,27.72,0
61,1,1,46,27.71,0
62,1,1,45.97,27.69,0
63,1,1,45.97,27.71,0
64,1,1,46,27.72,0
65,1,1,45.97,27.72,0
66,1,1,45.97,27.71,0
67,1,1,45.93,27.71,0
68,1,1,45.93,27.7,0
69,1,1,45.9,27.71,0
70,1,1,45.9,27.69,0
71,1,1,45.9,27.7,0
72,1,1,45.9,27.67,0
73,1,1,45.9,27.67,0
74,1,1,45.93,27.66,0
75,1,1,45.9,27.67,0
76,1,1,45.9,27.66,0
77,1,1,45.93,27.66,0
78,1,1,45.93,27.68,0
79,1,1,46,27.67,0
80,1,1,45.97,27.67,0
81,1,1,45.93,27.65,0
82,1,1,45.93,27.67,0
83,1,1,45.93,27.66,0
84,1,1,45.9,27.66,0
85,1,1,45.9,27.64,0
86,1,1,45.87,27.65,0
87,1,1,45.84,27.66,0
88,1,1,45.84,27.65,0
89,1,1,45.84,27.66,0
90,1,1,45.87,27.63,0
91,1,1,45.84,27.64,0
92,1,1,45.84,27.6,0
93,1,1,45.9,27.59,0
94,1,1,45.97,27.57,0
95,1,1,45.97,27.59,0
96,1,1,45.93,27.59,0
97,1,1,45.97,27.58,0
98,1,1,45.97,27.59,0
99,1,1,45.93,27.59,0
100,1,1,45.9,27.58,0
101,1,1,45.93,27.56,0
102,1,1,45.97,27.57,0
103,1,1,45.93,27.56,0
104,1,1,45.9,27.57,0
105,1,1,45.9,27.55,0
106,1,1,45.9,27.55,0
107,1,1,45.9,27.55,0
108,1,1,45.9,27.58,0
109,1,1,45.9,27.57,0
110,1,1,45.87,27.59,0
111,1,1,45.84,27.61,0
112,1,1,45.84,27.6,0
113,1,1,45.87,27.59,0
114,1,1,45.9,27.58,0
115,1,1,46.03,27.59,0
116,1,1,46.26,27.57,0
117,1,1,46.52,27.58,0
118,1,1,46.75,27.56,0
119,1,1,47.08,27.55,0
120,1,1,47.28,27.55,0
121,1,1,47.28,27.54,0
122,1,1,47.31,27.55,0
123,1,1,47.28,27.55,0
124,1,1,47.34,27.54,0
125,1,1,47.38,27.56,0
126,1,1,47.41,27.59,0
127,1,1,47.41,27.6,0
