"@stdlib/math/special/abs",""
"@stdlib/array/cartesian-power","@stdlib/array/cartesian-product,@stdlib/array/cartesian-square"
"@stdlib/array/cartesian-product","@stdlib/array/cartesian-power,@stdlib/array/cartesian-square"
"@stdlib/array/cartesian-square","@stdlib/array/cartesian-power,@stdlib/array/cartesian-product"
"@stdlib/string/acronym",""
"@stdlib/array/empty","@stdlib/array/empty-like,@stdlib/array/full,@stdlib/array/ones,@stdlib/array/zeros,@stdlib/ndarray/empty"
"@stdlib/array/empty-like","@stdlib/array/empty,@stdlib/array/full-like,@stdlib/array/ones-like,@stdlib/array/zeros-like,@stdlib/ndarray/empty-like"
"@stdlib/datasets/afinn-96","@stdlib/datasets/afinn-111"
"@stdlib/datasets/afinn-111","@stdlib/datasets/afinn-96"
"@stdlib/array/full","@stdlib/array/full-like,@stdlib/array/ones,@stdlib/array/zeros"
"@stdlib/array/full-like","@stdlib/array/full,@stdlib/array/ones-like,@stdlib/array/zeros-like"
"@stdlib/namespace/alias2pkg","@stdlib/namespace/alias2related,@stdlib/namespace/aliases,@stdlib/namespace/pkg2alias"
"@stdlib/namespace/alias2related","@stdlib/namespace/alias2pkg,@stdlib/namespace/aliases,@stdlib/namespace/pkg2related"
"@stdlib/namespace/alias2standalone","@stdlib/namespace/alias2pkg,@stdlib/namespace/alias2related,@stdlib/namespace/aliases,@stdlib/namespace/pkg2alias,@stdlib/namespace/pkg2standalone"
"@stdlib/namespace/aliases","@stdlib/namespace/alias2pkg,@stdlib/namespace/alias2related,@stdlib/namespace/pkg2alias"
"@stdlib/buffer/alloc-unsafe","@stdlib/buffer/ctor,@stdlib/buffer/from-array,@stdlib/buffer/from-arraybuffer,@stdlib/buffer/from-buffer,@stdlib/buffer/from-string"
"@stdlib/array/mskfilter","@stdlib/array/mskreject"
"@stdlib/array/mskput","@stdlib/array/place,@stdlib/array/put,@stdlib/array/take"
"@stdlib/array/mskreject","@stdlib/array/mskfilter"
"@stdlib/array/nans","@stdlib/array/full,@stdlib/array/nans-like,@stdlib/array/ones,@stdlib/array/zeros"
"@stdlib/array/nans-like","@stdlib/array/full-like,@stdlib/array/nans,@stdlib/array/ones-like,@stdlib/array/zeros-like"
"@stdlib/stats/anova1",""
"@stdlib/datasets/anscombes-quartet",""
"@stdlib/utils/any","@stdlib/utils/any-by,@stdlib/utils/every,@stdlib/utils/for-each,@stdlib/utils/none,@stdlib/utils/some"
"@stdlib/utils/any-by","@stdlib/utils/async/any-by,@stdlib/utils/any-by-right,@stdlib/utils/every-by,@stdlib/utils/for-each,@stdlib/utils/none-by,@stdlib/utils/some-by"
"@stdlib/utils/async/any-by","@stdlib/utils/any-by,@stdlib/utils/async/any-by-right,@stdlib/utils/async/every-by,@stdlib/utils/async/for-each,@stdlib/utils/async/none-by,@stdlib/utils/async/some-by"
"@stdlib/utils/any-by-right","@stdlib/utils/any-by,@stdlib/utils/async/any-by-right,@stdlib/utils/every-by-right,@stdlib/utils/for-each-right,@stdlib/utils/none-by-right,@stdlib/utils/some-by-right"
"@stdlib/utils/async/any-by-right","@stdlib/utils/async/any-by,@stdlib/utils/any-by-right,@stdlib/utils/async/every-by-right,@stdlib/utils/async/for-each-right,@stdlib/utils/async/none-by-right,@stdlib/utils/async/some-by-right"
"@stdlib/utils/any-in-by","@stdlib/utils/any-by,@stdlib/utils/any-own-by,@stdlib/utils/every-in-by,@stdlib/utils/some-in-by"
"@stdlib/utils/any-own-by","@stdlib/utils/any-by,@stdlib/utils/any-in-by,@stdlib/utils/every-own-by,@stdlib/utils/some-own-by"
"@stdlib/array/ones","@stdlib/array/full,@stdlib/array/nans,@stdlib/array/ones-like,@stdlib/array/zeros"
"@stdlib/array/ones-like","@stdlib/array/full-like,@stdlib/array/nans-like,@stdlib/array/ones,@stdlib/array/zeros-like"
"@stdlib/array/one-to","@stdlib/array/full,@stdlib/array/ones,@stdlib/array/one-to-like,@stdlib/array/zero-to"
