ipython,stdlib
alias,N/A
alias_magic,N/A
autoawait,N/A
autocall,N/A
automagic,N/A
bookmark,(planned)
cd,chdir(!)
colors,N/A
conda,N/A
config,N/A
debug,N/A
dhist,N/A
dirs,N/A
doctest_mode,N/A
edit,(planned)
env,ENV
gui,N/A
history,(planned)
killbgscripts,N/A
load,load
load_ext,N/A
loadpy,load
logoff,(planned)
logon,(planned)
logstart,(planned)
logstate,N/A
logstop,(planned)
lsmagic,help
macro,(planned?)
magic,N/A
matplotlib,plot
notebook,N/A
page,(planned)
pastebin,N/A
pdb,N/A
pdef,(planned)
pdoc,N/A
pfile,N/A
pinfo,N/A
pinfo2,N/A
pip,N/A
popd,N/A
pprint,N/A
precision,(planned)
prun,N/A
psearch,search/varsWorkspace
psource,N/A
pushd,N/A
pwd,cwd
pycat,(planned)
pylab,N/A
quickref,help
recall,(planned?)
rehashx,N/A
reload_ext,N/A
rerun,(planned)
reset,reset
reset_selective,clearVars/clearWorkspace
run,(planned)
save,(planned)
sc,(planned?)
set_env,ENV
sx,(planned?)
system,(planned?)
tb,N/A
time,timeit
timeit,timeit
unalias,N/A
unload_ext,N/A
who,vars
who_ls,vars
whos,vars
xdel,clearVars
xmode,N/A
