abs,"\nabs( x:ndarray|ArrayLikeObject|number[, options:Object] )\n    Computes the absolute value.\n"
abs.assign,"\nabs.assign( x:ndarray|ArrayLikeObject, y:ndarray|ArrayLikeObject )\n    Computes the absolute value and assigns results to a provided output array.\n"
acartesianPower,"\nacartesianPower( x:ArrayLikeObject, n:integer )\n    Returns the Cartesian power.\n"
acartesianProduct,"\nacartesianProduct( x1:ArrayLikeObject, x2:ArrayLikeObject )\n    Returns the Cartesian product.\n"
acartesianSquare,"\nacartesianSquare( x:ArrayLikeObject )\n    Returns the Cartesian square.\n"
acronym,"\nacronym( str:string[, options:Object] )\n    Generates an acronym for a given string.\n"
aempty,"\naempty( length:integer[, dtype:string] )\n    Creates an uninitialized array having a specified length.\n"
aemptyLike,"\naemptyLike( x:TypedArray|Array[, dtype:string] )\n    Creates an uninitialized array having the same length and data type as a\n    provided input array.\n"
AFINN_96,"\nAFINN_96()\n    Returns a list of English words rated for valence.\n"
AFINN_111,"\nAFINN_111()\n    Returns a list of English words rated for valence.\n"
afull,"\nafull( length:integer, value:any[, dtype:string] )\n    Returns a filled array having a specified length.\n"
afullLike,"\nafullLike( x:TypedArray|Array[, dtype:string] )\n    Returns a filled array having the same length and data type as a provided\n    input array.\n"
alias2pkg,"\nalias2pkg( alias:string )\n    Returns the package name associated with a provided alias.\n"
alias2related,"\nalias2related( alias:string )\n    Returns aliases related to a specified alias.\n"
alias2standalone,"\nalias2standalone( alias:string )\n    Returns the standalone package name associated with a provided alias.\n"
aliases,"\naliases( [namespace:string] )\n    Returns a list of standard library aliases.\n"
allocUnsafe,"\nallocUnsafe( size:integer )\n    Allocates a buffer having a specified number of bytes.\n"
amskfilter,"\namskfilter( x:Array|TypedArray|Object, mask:Array|TypedArray|Object )\n    Returns a new array by applying a mask to a provided input array.\n"
amskput,"\namskput( x:ArrayLikeObject, mask:ArrayLikeObject, values:ArrayLikeObject[, \n  options:Object] )\n    Replaces elements of an array with provided values according to a provided\n    mask array.\n"
