abs,"abs( x:ndarray|ArrayLikeObject|number[, options:Object] )"
abs.assign,"abs.assign( x:ndarray|ArrayLikeObject, y:ndarray|ArrayLikeObject )"
acartesianPower,"acartesianPower( x:ArrayLikeObject, n:integer )"
acartesianProduct,"acartesianProduct( x1:ArrayLikeObject, x2:ArrayLikeObject )"
acartesianSquare,"acartesianSquare( x:ArrayLikeObject )"
acronym,"acronym( str:string[, options:Object] )"
aempty,"aempty( length:integer[, dtype:string] )"
aemptyLike,"aemptyLike( x:TypedArray|Array[, dtype:string] )"
AFINN_96,"AFINN_96()"
AFINN_111,"AFINN_111()"
afull,"afull( length:integer, value:any[, dtype:string] )"
afullLike,"afullLike( x:TypedArray|Array[, dtype:string] )"
alias2pkg,"alias2pkg( alias:string )"
alias2related,"alias2related( alias:string )"
alias2standalone,"alias2standalone( alias:string )"
aliases,"aliases( [namespace:string] )"
allocUnsafe,"allocUnsafe( size:integer )"
amskfilter,"amskfilter( x:Array|TypedArray|Object, mask:Array|TypedArray|Object )"
amskput,"amskput( x:ArrayLikeObject, mask:ArrayLikeObject, values:ArrayLikeObject[, options:Object] )"
amskreject,"amskreject( x:Array|TypedArray|Object, mask:Array|TypedArray|Object )"
anans,"anans( length:integer[, dtype:string] )"
anansLike,"anansLike( x:TypedArray|Array[, dtype:string] )"
anova1,"anova1( x:Array<number>, factor:Array[, options:Object] )"
ANSCOMBES_QUARTET,"ANSCOMBES_QUARTET()"
any,"any( collection:Array|TypedArray|Object )"
anyBy,"anyBy( collection:Array|TypedArray|Object, predicate:Function[, thisArg:any ] )"
anyByAsync,"anyByAsync( collection:Array|TypedArray|Object, [options:Object,] predicate:Function, done:Function )"
anyByAsync.factory,"anyByAsync.factory( [options:Object,] predicate:Function )"
anyByRight,"anyByRight( collection:Array|TypedArray|Object, predicate:Function[, thisArg:any ] )"
anyByRightAsync,"anyByRightAsync( collection:Array|TypedArray|Object, [options:Object,] predicate:Function, done:Function )"
anyByRightAsync.factory,"anyByRightAsync.factory( [options:Object,] predicate:Function )"
anyInBy,"anyInBy( object:Object, predicate:Function[, thisArg:any ] )"
anyOwnBy,"anyOwnBy( object:Object, predicate:Function[, thisArg:any ] )"
aones,"aones( length:integer[, dtype:string] )"
aonesLike,"aonesLike( x:TypedArray|Array[, dtype:string] )"
aoneTo,"aoneTo( n:integer[, dtype:string] )"
aoneToLike,"aoneToLike( x:TypedArray|Array[, dtype:string] )"
APERY,"APERY"
aplace,"aplace( x:ArrayLikeObject, mask:ArrayLikeObject, values:ArrayLikeObject[, options:Object] )"
append,"append( collection1:Array|TypedArray|Object, collection2:Array|TypedArray|Object )"
aput,"aput( x:ArrayLikeObject, indices:ArrayLikeObject<integer>, values:ArrayLikeObject[, options:Object] )"
ARCH,"ARCH"
argumentFunction,"argumentFunction( idx:integer )"
ARGV,"ARGV"
array,"array( [buffer:Array|TypedArray|Buffer|ndarray,] [options:Object] )"
array2buffer,"array2buffer( arr:Array<integer> )"
array2fancy,"array2fancy( x:Array|TypedArray|Object[, options:Object] )"
array2fancy.factory,"array2fancy.factory( [options:Object] )"
array2fancy.idx,"array2fancy.idx( x:Array|TypedArray|Object[, options:Object] )"
array2iterator,"array2iterator( src:ArrayLikeObject[, mapFcn:Function[, thisArg:any]] )"
array2iteratorRight,"array2iteratorRight( src:ArrayLikeObject[, mapFcn:Function[, thisArg:any]] )"
ArrayBuffer,"ArrayBuffer( size:integer )"
ArrayBuffer.length,"ArrayBuffer.length"
ArrayBuffer.isView,"ArrayBuffer.isView( arr:any )"
ArrayBuffer.prototype.byteLength,"ArrayBuffer.prototype.byteLength"
ArrayBuffer.prototype.slice,"ArrayBuffer.prototype.slice( [start:integer[, end:integer]] )"
arraybuffer2buffer,"arraybuffer2buffer( buf:ArrayBuffer[, byteOffset:integer[, length:integer]] )"
arrayCtors,"arrayCtors( dtype:string )"
arrayDataType,"arrayDataType( array:any )"
arrayDataTypes,"arrayDataTypes( [kind:string] )"
ArrayIndex,"ArrayIndex( x:Array|TypedArray|Object[, options:Object] )"
ArrayIndex.free,"ArrayIndex.free( id:string )"
ArrayIndex.get,"ArrayIndex.get( id:string )"
ArrayIndex.prototype.data,"ArrayIndex.prototype.data"
ArrayIndex.prototype.dtype,"ArrayIndex.prototype.dtype"
ArrayIndex.prototype.id,"ArrayIndex.prototype.id"
ArrayIndex.prototype.isCached,"ArrayIndex.prototype.isCached"
ArrayIndex.prototype.type,"ArrayIndex.prototype.type"
ArrayIndex.prototype.toString,"ArrayIndex.prototype.toString()"
ArrayIndex.prototype.toJSON,"ArrayIndex.prototype.toJSON()"
arrayMinDataType,"arrayMinDataType( value:any )"
arrayMostlySafeCasts,"arrayMostlySafeCasts( [dtype:any] )"
arrayNextDataType,"arrayNextDataType( [dtype:string] )"
arrayPromotionRules,"arrayPromotionRules( [dtype1:any, dtype2:any] )"
arraySafeCasts,"arraySafeCasts( [dtype:any] )"
arraySameKindCasts,"arraySameKindCasts( [dtype:any] )"
arrayShape,"arrayShape( arr:ArrayLikeObject )"
arrayStream,"arrayStream( src:ArrayLikeObject[, options:Object] )"
arrayStream.factory,"arrayStream.factory( [options:Object] )"
arrayStream.objectMode,"arrayStream.objectMode( src:ArrayLikeObject[, options:Object] )"
arrayview2iterator,"arrayview2iterator( src:ArrayLikeObject[, begin:integer[, end:integer]][, mapFcn:Function[, thisArg:any]] )"
arrayview2iteratorRight,"arrayview2iteratorRight( src:ArrayLikeObject[, begin:integer[, end:integer]][, mapFcn:Function[, thisArg:any]] )"
aslice,"aslice( x:ArrayLikeObject[, start:integer[, end:integer]] )"
AsyncIteratorSymbol,"AsyncIteratorSymbol"
atake,"atake( x:Array|TypedArray|Object, indices:ArrayLikeObject<integer>[, options:Object] )"
azeros,"azeros( length:integer[, dtype:string] )"
azerosLike,"azerosLike( x:TypedArray|Array[, dtype:string] )"
azeroTo,"azeroTo( n:integer[, dtype:string] )"
azeroToLike,"azeroToLike( x:TypedArray|Array[, dtype:string] )"
bartlettTest,"bartlettTest( ...x:Array[, options:Object] )"
base.abs,"base.abs( x:number )"
base.abs2,"base.abs2( x:number )"
base.abs2f,"base.abs2f( x:number )"
base.absdiff,"base.absdiff( x:number, y:number )"
base.absf,"base.absf( x:number )"
base.acartesianPower,"base.acartesianPower( x:ArrayLikeObject, n:integer )"
base.acartesianProduct,"base.acartesianProduct( x1:ArrayLikeObject, x2:ArrayLikeObject )"
base.acartesianSquare,"base.acartesianSquare( x:ArrayLikeObject )"
base.acos,"base.acos( x:number )"
base.acosd,"base.acosd( x:number )"
base.acosf,"base.acosf( x:number )"
base.acosh,"base.acosh( x:number )"
base.acot,"base.acot( x:number )"
base.acotd,"base.acotd( x:number )"
base.acotf,"base.acotf( x:number )"
base.acoth,"base.acoth( x:number )"
base.acovercos,"base.acovercos( x:number )"
base.acoversin,"base.acoversin( x:number )"
base.acsc,"base.acsc( x:number )"
base.acscd,"base.acscd( x:number )"
base.acscdf,"base.acscdf( x:number )"
base.acscf,"base.acscf( x:number )"
base.acsch,"base.acsch( x:number )"
base.add,"base.add( x:number, y:number )"
base.add3,"base.add3( x:number, y:number, z:number )"
base.add4,"base.add4( x:number, y:number, z:number, w:number )"
base.add5,"base.add5( x:number, y:number, z:number, w:number, u:number )"
base.addf,"base.addf( x:number, y:number )"
base.afilled,"base.afilled( value:any, len:integer )"
base.afilled2d,"base.afilled2d( value:any, shape:Array<integer> )"
base.afilled2dBy,"base.afilled2dBy( shape:Array<integer>, clbk:Function[, thisArg:any] )"
base.afilled3d,"base.afilled3d( value:any, shape:Array<integer> )"
base.afilled3dBy,"base.afilled3dBy( shape:Array<integer>, clbk:Function[, thisArg:any] )"
base.afilled4d,"base.afilled4d( value:any, shape:Array<integer> )"
base.afilled4dBy,"base.afilled4dBy( shape:Array<integer>, clbk:Function[, thisArg:any] )"
base.afilled5d,"base.afilled5d( value:any, shape:Array<integer> )"
base.afilled5dBy,"base.afilled5dBy( shape:Array<integer>, clbk:Function[, thisArg:any] )"
base.afilledBy,"base.afilledBy( len:integer, clbk:Function[, thisArg:any] )"
base.afillednd,"base.afillednd( value:any, shape:Array<integer> )"
base.afilledndBy,"base.afilledndBy( shape:Array<integer>, clbk:Function[, thisArg:any] )"
base.afilter,"base.afilter( x:Array|TypedArray|Object, predicate:Function[, thisArg:any] )"
base.afirst,"base.afirst( arr:ArrayLikeObject )"
base.aflatten,"base.aflatten( x:Array, shape:Array<integer>, colexicographic:boolean )"
base.aflatten.assign,"base.aflatten.assign( x:Array, shape:Array<integer>, colexicographic:boolean, out:Collection, stride:integer, offset:integer )"
base.aflatten2d,"base.aflatten2d( x:Array, shape:Array<integer>, colexicographic:boolean )"
base.aflatten2d.assign,"base.aflatten2d.assign( x:Array, shape:Array<integer>, colexicographic:boolean, out:Collection, stride:integer, offset:integer )"
base.aflatten2dBy,"base.aflatten2dBy( x:Array, shape:Array<integer>, colex:boolean, clbk:Function[, thisArg:any] )"
base.aflatten2dBy.assign,"base.aflatten2dBy.assign( x:Array, shape:Array<integer>, colex:boolean, out:Collection, stride:integer, offset:integer, clbk:Function[, thisArg:any] )"
base.aflatten3d,"base.aflatten3d( x:ArrayLikeObject, shape:Array<integer>, colexicographic:boolean )"
base.aflatten3d.assign,"base.aflatten3d.assign( x:Array, shape:Array<integer>, colexicographic:boolean, out:Collection, stride:integer, offset:integer )"
base.aflatten3dBy,"base.aflatten3dBy( x:ArrayLikeObject, shape:Array<integer>, colex:boolean, clbk:Function[, thisArg:any] )"
base.aflatten3dBy.assign,"base.aflatten3dBy.assign( x:Array, shape:Array<integer>, colex:boolean, out:Collection, stride:integer, offset:integer, clbk:Function[, thisArg:any] )"
base.aflatten4d,"base.aflatten4d( x:ArrayLikeObject, shape:Array<integer>, colexicographic:boolean )"
base.aflatten4d.assign,"base.aflatten4d.assign( x:Array, shape:Array<integer>, colexicographic:boolean, out:Collection, stride:integer, offset:integer )"
base.aflatten4dBy,"base.aflatten4dBy( x:ArrayLikeObject, shape:Array<integer>, colex:boolean, clbk:Function[, thisArg:any] )"
base.aflatten4dBy.assign,"base.aflatten4dBy.assign( x:Array, shape:Array<integer>, colex:boolean, out:Collection, stride:integer, offset:integer, clbk:Function[, thisArg:any] )"
base.aflatten5d,"base.aflatten5d( x:ArrayLikeObject, shape:Array<integer>, colexicographic:boolean )"
base.aflatten5d.assign,"base.aflatten5d.assign( x:Array, shape:Array<integer>, colexicographic:boolean, out:Collection, stride:integer, offset:integer )"
base.aflatten5dBy,"base.aflatten5dBy( x:ArrayLikeObject, shape:Array<integer>, colex:boolean, clbk:Function[, thisArg:any] )"
base.aflatten5dBy.assign,"base.aflatten5dBy.assign( x:Array, shape:Array<integer>, colex:boolean, out:Collection, stride:integer, offset:integer, clbk:Function[, thisArg:any] )"
base.aflattenBy,"base.aflattenBy( x:Array, shape:Array<integer>, colex:boolean, clbk:Function[, thisArg:any] )"
